rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,feature_stellar_density,feature_period_precision,feature_depth_precision,feature_radius_precision,feature_radius_ratio,feature_duration_period_ratio,feature_depth_mag_signal,hercules_prediction,prob_candidate,prob_confirmed,prob_false_positive,signal_quality,transit_coverage,period_quality,depth_quality,radius_quality,data_completeness,scientific_priority_score,priority
8841,9944201,K07259.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---PLANET_OCCULT_DV---DEEP_V_SHAPED---HAS_SEC_TCE,0.721522907,4.3e-08,-4.3e-08,131.7091421,5.02e-05,-5.02e-05,2454964.709,5.02e-05,-5.02e-05,0.0,,,,,,0.831,0.055,-0.017,1.4521,0.0076,-0.0076,,,,22528.0,18.4,-18.4,0.161792,0.019043,-0.002879,1.2208,0.12236,-0.23221,LS+MCMC,11.04,0.97,-0.88,0.0134,,,75.08,,,1475.0,,,1115.99,369.92,-279.21,3.227,0.323,-0.323,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1908,0.5172,q1_q17_dr25_koi,81.1202,1239.1422,815.3,1,1849.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0811,Mandel and Agol (2002 ApJ 580 171),,,009/009944/009944201/dv/kplr009944201-20160209194854_dvr.pdf,009/009944/009944201/dv/kplr009944201-001-20160209194854_dvs.pdf,4893.0,146.0,-146.0,4.634,0.06,-0.035,-0.7,0.3,-0.3,0.625,0.055,-0.05,0.614,0.066,-0.031,,,,q1_q17_dr25_stellar,288.49091,46.804989,15.069,15.832,15.024,14.742,14.52,13.45,12.935,12.832,0.0,19.23273534,1.3e-07,46.8049672,1.3e-06,0.2714,0.0048,-0.0821,0.0045,-0.0021,0.0014,0.0016,0.0021,0.381,0.071,-0.273,0.069,0.469,0.072,0.445,0.075,-0.214,0.074,0.493,0.075,1.2208,16398247.886363635,1224.347826020416,11.381443287235625,0.014655072462440664,2.012548713144947,1494.9897138831382,CANDIDATE,0.9747551988421657,0.0023666325972471407,0.022878168560587123,88.3345550395792,100.0,100.0,98.8420460796214,72.12733196499047,100.0,95.17084924622169,HIGH
957,6620003,K01225.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,MOD_ODDEVEN_DV---MOD_ODDEVEN_ALT---DEEP_V_SHAPED,1.714274727,1.12e-07,-1.12e-07,133.3158074,5.26e-05,-5.26e-05,2454966.316,5.26e-05,-5.26e-05,0.0,,,,,,1.182,0.046,-0.065,2.06728,0.00291,-0.00291,,,,28460.0,34.5,-34.5,0.427965,0.043398,-0.052518,0.92035,0.01914,-0.02281,LS+MCMC,25.0,0.98,-1.21,0.0229,,,76.93,,,827.0,,,110.02,15.32,-16.26,5.229,0.109,-0.109,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3384,0.3803,q1_q17_dr25_koi,71.81617,1239.6158,987.2,1,784.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0,Mandel and Agol (2002 ApJ 580 171),,,006/006620/006620003/dv/kplr006620003-20160209194854_dvr.pdf,006/006620/006620003/dv/kplr006620003-001-20160209194854_dvs.pdf,3874.0,52.0,-58.0,4.715,0.03,-0.015,-0.1,0.1,-0.1,0.535,0.021,-0.026,0.541,0.024,-0.022,,,,q1_q17_dr25_stellar,295.62222,42.09288,15.686,17.047,15.733,15.103,14.678,13.394,12.771,12.61,0.0,19.70814701,1.8e-07,42.0929185,2e-06,-0.0118,0.0073,0.1387,0.0073,0.0014,0.0026,0.0035,0.0035,-0.031,0.075,-0.03,0.12,0.047,0.087,0.128,0.081,0.12,0.13,0.178,0.096,0.92035,15170572.805309735,824.9275362079732,25.510204055601832,0.017118599999315254,1.2059210616794438,1814.3567511274796,CANDIDATE,0.9537022118022994,0.0025988771111742437,0.04369891108652633,91.99406386388638,88.04331678348845,100.0,91.39068580951624,100.0,100.0,94.42335412364916,HIGH
217,7380537,K00883.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,2.688899233,1.9e-07,-1.9e-07,170.1020904,5.61e-05,-5.61e-05,2455003.102,5.61e-05,-5.61e-05,0.0,,,,,,0.001,0.061,-0.001,2.11275,0.00254,-0.00254,,,,37492.0,44.0,-44.0,0.172543,0.000204,-8.9e-05,3.89722,0.0073,-0.04095,LS+MCMC,12.04,1.36,-0.79,0.0335,,,90.0,,,929.0,,,175.76,66.28,-39.88,11.4204,0.0214,-0.0214,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1392,0.5856,q1_q17_dr25_koi,120.20046,1777.0094,1011.6,1,499.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0001,Mandel and Agol (2002 ApJ 580 171),,,007/007380/007380537/dv/kplr007380537-20160209194854_dvr.pdf,007/007380/007380537/dv/kplr007380537-001-20160209194854_dvs.pdf,4820.0,130.0,-144.0,4.667,0.027,-0.063,-0.4,0.35,-0.3,0.639,0.072,-0.042,0.699,0.059,-0.072,,,,q1_q17_dr25_stellar,296.68307,42.967869,15.766,16.587,15.72,15.414,15.22,14.178,13.631,13.522,0.0,19.77888413,1.3e-07,42.9680077,1.4e-06,0.5305,0.0052,0.4959,0.0051,0.0296,0.0032,0.0273,0.0043,-1.13,0.24,-1.08,0.15,1.56,0.27,0.115,0.068,0.098,0.069,0.151,0.068,3.89722,14078006.455497382,852.0909090715435,8.85294116996107,0.014330813952298106,0.7857304480901199,2378.028669137509,CANDIDATE,0.9709175432615074,0.005526599265050154,0.023555857473442413,92.46114526830631,80.18883439130893,100.0,92.00192953920752,59.80925916295045,100.0,92.30220823236274,HIGH
583,10295951,K01154.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---PLANET_OCCULT_ALT---HAS_SEC_TCE,6.810823723,1.014e-06,-1.014e-06,136.04667,0.000115,-0.000115,2454969.047,0.000115,-0.000115,0.0,,,,,,0.57,0.011,-0.01,7.98574,0.00861,-0.00861,,,,14447.0,12.0,-12.0,0.114797,0.000239,-1.7e-05,0.10154,0.00224,-0.00275,LS+MCMC,26.06,6.36,-9.53,0.0798,,,84.8,,,1626.0,,,1656.16,1245.3,-1094.83,6.291,0.139,-0.139,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3287,0.2412,q1_q17_dr25_koi,384.02817,2688.337,1441.9,1,160.0,1.0,q1_q17_dr25_tce,11111101110111011000000000000000,0.31,Mandel and Agol (2002 ApJ 580 171),,,010/010295/010295951/dv/kplr010295951-20160209194854_dvr.pdf,010/010295/010295951/dv/kplr010295951-001-20160209194854_dvs.pdf,7226.0,228.0,-304.0,3.967,0.315,-0.135,-0.4,0.3,-0.3,2.079,0.507,-0.76,1.461,0.204,-0.306,,,,q1_q17_dr25_stellar,299.10281,47.377781,12.628,12.796,12.572,12.541,12.542,11.768,11.61,11.548,0.0,19.940189437,8e-08,47.37779511,7.9e-07,0.0525,0.0029,0.0544,0.0029,0.00038,0.00021,0.0002,0.00031,-0.006,0.067,-0.005,0.067,0.008,0.067,-0.01,0.067,-0.001,0.067,0.011,0.068,0.10154,6710171.155665025,1203.9166665663404,4.097484276085301,0.004405103606891592,1.172507221389364,1144.0449793202372,CANDIDATE,0.9608946675019912,0.0027280518712876163,0.03637728062672115,99.24258889926014,60.45660239068987,94.02785960159906,98.52443327794674,24.27131306972813,100.0,89.03740304269652,HIGH
7102,12253490,K05961.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,19.159760875,1.999e-06,-1.999e-06,141.5680129,8.47e-05,-8.47e-05,2454974.568,8.47e-05,-8.47e-05,0.0,,,,,,1.191,0.116,-0.089,3.10166,0.00389,-0.00389,,,,32491.0,25.7,-25.7,0.447952,0.103819,-0.075764,3.02257,0.08298,-0.13028,LS+MCMC,25.24,1.76,-2.1,0.1126,,,88.24,,,424.0,,,7.65,2.26,-2.07,38.85,1.1,-1.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1554,0.5738,q1_q17_dr25_koi,170.20615,881.675,900.3,1,73.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.8957,Mandel and Agol (2002 ApJ 580 171),,,012/012253/012253490/dv/kplr012253490-20160209194854_dvr.pdf,012/012253/012253490/dv/kplr012253490-001-20160209194854_dvs.pdf,4492.0,141.0,-157.0,4.727,0.054,-0.032,-1.18,0.3,-0.3,0.516,0.036,-0.043,0.518,0.036,-0.033,,,,q1_q17_dr25_stellar,288.64325,50.90118,15.053,15.995,15.083,14.65,14.439,13.321,12.746,12.663,0.0,19.24287342,4.5e-07,50.9013703,4.3e-06,-0.36,0.015,0.685,0.016,0.0055,0.0032,-0.0027,0.0051,-0.157,0.067,0.1,0.067,0.186,0.067,-0.247,0.068,0.329,0.069,0.412,0.069,3.02257,9579880.4375,1264.2412450869945,14.340909082760845,0.017747702059518713,0.1618840663029995,2158.440177894211,CANDIDATE,0.9400738353713067,0.0002947496935705922,0.05963141493512271,90.23142126175874,46.92096144514768,99.75154720485455,99.44722615648286,83.68481005774807,100.0,88.39492635651322,HIGH
5988,9084778,K01631.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,MOD_ODDEVEN_DV---MOD_ODDEVEN_ALT,0.592243731,9e-08,-9e-08,131.654831,0.000124,-0.000124,2454964.655,0.000124,-0.000124,0.0,,,,,,0.986,0.048,-0.054,1.386,0.0156,-0.0156,,,,3992.4,18.2,-18.2,0.104857,0.035299,-0.028355,0.38407,0.00618,-0.03335,LS+MCMC,6.77,0.51,-0.52,0.0116,,,59.16,,,1551.0,,,1361.22,410.79,-331.29,1.9239,0.031,-0.031,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2386,0.4539,q1_q17_dr25_koi,9.777292,75.892395,303.8,1,2264.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.329,Mandel and Agol (2002 ApJ 580 171),,,009/009084/009084778/dv/kplr009084778-20160209194854_dvr.pdf,009/009084/009084778/dv/kplr009084778-001-20160209194854_dvs.pdf,4920.0,146.0,-146.0,4.664,0.056,-0.032,-0.96,0.3,-0.3,0.591,0.045,-0.045,0.588,0.05,-0.025,,,,q1_q17_dr25_stellar,290.28094,45.46426,15.653,16.414,15.639,15.326,15.147,14.068,13.58,13.441,0.0,19.3520586,2.7e-06,45.464188,2.9e-05,-0.18,0.1,-0.26,0.1,0.00072,0.00019,0.00108,0.00023,-0.223,0.072,-0.1,0.073,0.244,0.072,-0.12,0.075,0.06,0.079,0.134,0.076,0.38407,6508172.8681318695,219.3626373505845,13.274509777893117,0.015488478579691512,2.340252712037145,255.05653866638622,CANDIDATE,0.9629897904903469,0.0012742759008609193,0.0357359336087922,69.46999272963757,100.0,93.53648719524371,66.43338878420452,79.79962583961259,100.0,88.07189127978276,HIGH
6217,6634112,K05308.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,9.942228056,6.87e-07,-6.87e-07,133.8474942,5.7e-05,-5.7e-05,2454966.847,5.7e-05,-5.7e-05,0.0,,,,,,0.93,0.297,-0.022,2.45451,0.00377,-0.00377,,,,31068.0,23.4,-23.4,0.24062,0.235227,-0.013505,3.14229,0.03045,-0.24014,LS+MCMC,22.15,3.6,-2.94,0.0831,,,87.9,,,740.0,,,70.93,36.96,-23.71,25.417,0.246,-0.246,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2043,0.4966,q1_q17_dr25_koi,387.82684,1908.602,1073.3,1,134.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0025,Mandel and Agol (2002 ApJ 580 171),,,006/006634/006634112/dv/kplr006634112-20160209194854_dvr.pdf,006/006634/006634112/dv/kplr006634112-001-20160209194854_dvs.pdf,5268.0,158.0,-158.0,4.475,0.108,-0.156,-0.14,0.3,-0.3,0.843,0.137,-0.112,0.775,0.112,-0.06,,,,q1_q17_dr25_stellar,298.64252,42.092831,14.099,14.775,14.05,13.809,13.691,12.718,12.266,12.172,0.0,19.90950451,1.6e-07,42.0927294,1.8e-06,0.1006,0.0064,-0.3623,0.0065,0.0091,0.0017,-0.0136,0.0023,-0.029,0.067,0.09,0.067,0.095,0.067,0.061,0.067,-0.061,0.068,0.086,0.068,3.14229,14450912.872093022,1327.6923076355688,6.152777776068672,0.010863205417116786,0.2468772578870648,2203.56053605195,CANDIDATE,0.926580561646575,0.0012739492073076814,0.07214548914611738,93.59379339854823,57.3896959189328,100.0,100.0,42.53867415621517,100.0,87.79567836365534,HIGH
3587,12251650,K00621.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,17.761998411,1.794e-06,-1.794e-06,174.1831018,8.11e-05,-8.11e-05,2455007.183,8.11e-05,-8.11e-05,0.0,,,,,,0.907,0.016,-0.015,2.4644,0.00925,-0.00925,,,,24177.0,51.2,-51.2,0.195094,0.00892,-0.00817,4.72205,0.11964,-0.16223,LS+MCMC,14.25,1.39,-1.25,0.1165,,,88.79,,,538.0,,,19.78,6.98,-5.03,42.86,1.1,-1.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1908,0.5172,q1_q17_dr25_koi,133.55298,759.2412,731.7,1,75.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.6195,Mandel and Agol (2002 ApJ 580 171),,,012/012251/012251650/dv/kplr012251650-20160209194854_dvr.pdf,012/012251/012251650/dv/kplr012251650-001-20160209194854_dvs.pdf,5088.0,151.0,-136.0,4.612,0.061,-0.044,-0.58,0.3,-0.3,0.669,0.065,-0.059,0.667,0.073,-0.043,,,,q1_q17_dr25_stellar,287.46097,50.975071,14.762,15.443,14.736,14.47,14.347,13.352,12.801,12.735,0.0,19.16406179,4.9e-07,50.9752692,4.9e-06,-0.075,0.017,0.717,0.018,0.0012,0.0022,-0.0014,0.0035,-0.054,0.067,0.059,0.067,0.08,0.067,0.128,0.069,0.068,0.067,0.145,0.069,4.72205,9895263.738718662,472.2070312407772,10.251798553775684,0.0136908070165831,0.138745649157082,1637.7862077199711,CANDIDATE,0.982245054380169,0.0035736937553473382,0.014181251864483636,86.26554803130293,47.38532987506686,100.0,80.8697768824307,66.9682610658859,100.0,87.04714657036413,HIGH
3045,10395543,K00531.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,3.687469832,3.9e-07,-3.9e-07,170.8803594,8.45e-05,-8.45e-05,2455003.88,8.45e-05,-8.45e-05,0.0,,,,,,0.919,0.026,-0.016,1.0668,0.0166,-0.0166,,,,5057.6,18.9,-18.9,0.087283,0.009368,-0.006323,5.05754,0.18131,-1.11629,LS+MCMC,5.78,0.22,-0.34,0.0397,,,86.57,,,690.0,,,53.6,8.84,-9.66,15.376,0.551,-0.551,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1433,0.6041,q1_q17_dr25_koi,36.37281,336.3396,363.9,1,363.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.8858,Mandel and Agol (2002 ApJ 580 171),,,010/010395/010395543/dv/kplr010395543-20160209194854_dvr.pdf,010/010395/010395543/dv/kplr010395543-001-20160209194854_dvs.pdf,4004.0,79.0,-79.0,4.659,0.035,-0.015,0.12,0.15,-0.15,0.606,0.023,-0.035,0.611,0.03,-0.033,,,,q1_q17_dr25_stellar,287.69119,47.546902,14.418,15.747,14.395,13.849,13.544,12.357,11.75,11.61,0.0,19.17941357,8.9e-07,47.5466844,7.1e-06,0.032,0.032,-0.776,0.026,0.00265,0.00028,-0.00103,0.00037,-0.029,0.068,0.008,0.068,0.03,0.068,-0.151,0.07,-0.807,0.077,0.821,0.078,5.05754,9430869.135549871,267.59788358372504,26.272727153305787,0.015100865049290507,0.2893040616774586,350.78374251971263,CANDIDATE,0.9449468683347593,0.05114894943661487,0.0039041822286260274,72.91626062482295,74.6610723952964,99.49952709299782,70.17237410925226,100.0,100.0,86.90419818383049,HIGH
566,9772531,K00950.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,31.201692472,3.701e-06,-3.701e-06,183.4076137,9.57e-05,-9.57e-05,2455016.408,9.57e-05,-9.57e-05,0.0,,,,,,0.001,0.358,-0.112,2.15663,0.00988,-0.00988,,,,34514.0,74.7,-74.7,0.169571,0.002076,-0.000413,41.97515,1.05807,-8.23913,LS+MCMC,8.31,0.52,-0.63,0.1498,,,90.0,,,286.0,,,1.59,0.31,-0.32,129.27,3.3,-3.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.4418,0.2405,q1_q17_dr25_koi,130.21426,595.1253,607.4,1,44.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0441,Mandel and Agol (2002 ApJ 580 171),,,009/009772/009772531/dv/kplr009772531-20160209194854_dvr.pdf,009/009772/009772531/dv/kplr009772531-001-20160209194854_dvs.pdf,3748.0,56.0,-61.0,4.796,0.042,-0.028,-0.3,0.1,-0.1,0.449,0.028,-0.034,0.461,0.028,-0.031,,,,q1_q17_dr25_stellar,292.65704,46.537338,15.798,17.249,15.856,15.176,14.823,13.584,12.953,12.753,0.535,19.5104665,7e-07,46.5374253,7.5e-06,-0.104,0.026,0.307,0.027,0.0006,0.006,0.0005,0.0087,0.005,0.067,-0.002,0.067,0.005,0.067,0.032,0.068,0.415,0.07,0.416,0.07,41.97515,8428334.001080498,462.0348058840423,15.980769200036983,0.0204056558338862,0.06911900698547724,2184.706924788916,CANDIDATE,0.992023432912197,0.002464797250534068,0.005511769837269032,82.70560436693569,38.259797279288534,97.69276627006856,80.45929564196838,89.16136931955056,100.0,86.47732260773151,HIGH
